Timestamp;Temperature;humidity;battery
2025-08-08 23:09:11;24.385824368657964;52.13702601663233;3.149
2025-08-08 23:19:07;24.08941786831464;53.00679026474403;3.149
2025-08-08 23:29:06;23.595407034409092;54.430457007705805;3.149
2025-08-08 23:39:09;23.266956588082707;54.96147096971084;3.149
2025-08-08 23:49:06;22.79964904249637;57.70046540016785;3.149
2025-08-08 23:59:09;22.588693064774546;58.57328145265888;3.149
2025-08-09 00:09:10;22.348363469901585;58.82200350957503;3.149
2025-08-09 00:19:09;22.532616159304183;58.33066300450141;3.149
2025-08-09 00:29:10;22.27893492027161;60.29907682917525;3.149
2025-08-09 00:39:08;21.841000991836424;61.37178606851301;3.149
2025-08-09 00:49:09;21.456473640039675;62.905317769130995;3.149
2025-08-09 00:59:11;20.97581445029374;64.24048218509193;3.149
2025-08-09 01:09:10;20.778210116731515;65.01411459525444;3.149
2025-08-09 01:19:08;20.919737544823377;64.38239108873121;3.149
2025-08-09 01:29:13;20.764858472571902;64.88136110475318;3.149
2025-08-09 01:39:06;20.666056305790804;64.60212100404364;3.144
2025-08-09 01:49:12;20.337605859464404;65.65041580834668;3.149
2025-08-09 01:59:13;19.99847409781033;67.03898680094606;3.149
2025-08-09 02:09:06;19.702067597467007;68.26123445487144;3.149
2025-08-09 02:19:09;19.49111161974517;67.866025787747;3.146
2025-08-09 02:29:06;19.32021057450217;67.86755168993668;3.146
2025-08-09 02:39:09;19.093232623788822;68.15594720378424;3.149
2025-08-09 02:49:08;18.938353551537347;69.14015411612115;3.149
2025-08-09 02:59:12;18.895628290226597;69.35530632486457;3.149
2025-08-09 03:09:13;18.895628290226597;69.06996261539635;3.149
2025-08-09 03:19:06;18.925001907377734;68.48401617456321;3.149
2025-08-09 03:29:09;18.724727244983598;69.0928511482414;3.149
2025-08-09 03:39:06;18.444342717631798;70.8873121232929;3.149
2025-08-09 03:49:13;18.444342717631798;70.09231708247502;3.151
2025-08-09 03:59:11;18.471046005951017;70.12741283283742;3.149
2025-08-09 04:09:07;18.217364766918443;70.55008773937591;3.146
2025-08-09 04:19:07;18.1025406271458;70.70420386053254;3.149
2025-08-09 04:29:10;17.94766155489433;71.5007248035401;3.149
2025-08-09 04:39:10;18.03311207751583;71.64721141374838;3.149
2025-08-09 04:49:08;18.1025406271458;71.53887235828184;3.146
2025-08-09 04:59:13;17.80613412680247;72.31708247501335;3.149
2025-08-09 05:09:07;17.651255054551;73.50728618295567;3.149
2025-08-09 05:19:11;17.680628671702145;73.82314793621728;3.149
2025-08-09 05:29:07;17.52307927061875;73.505760280766;3.149
2025-08-09 05:39:10;17.256046387426565;74.76005188067445;3.151
2025-08-09 05:49:06;17.352178225375752;74.68833447775998;3.149
2025-08-09 05:59:13;17.338826581216146;75.28953994048982;3.149
2025-08-09 06:09:10;17.085145342183566;75.37956816968033;3.149
2025-08-09 06:19:09;16.914244296940566;76.63843747615778;3.149
2025-08-09 06:29:08;16.956969558251316;76.48889906157015;3.149
2025-08-09 06:39:08;16.844815747310598;76.49805447470817;3.149
2025-08-09 06:49:06;16.786068513008317;76.90089265278095;3.149
2025-08-09 06:59:13;17.015716792553597;75.3154802777142;3.149
2025-08-09 07:09:11;17.18394750896468;75.02250705729763;3.149
2025-08-09 07:19:07;17.14122224765393;73.76821545738918;3.151
2025-08-09 07:29:07;17.410925459678033;74.35416189822233;3.151
2025-08-09 07:39:10;17.579156176089114;74.66392004272527;3.149
2025-08-09 07:49:09;18.0170901045243;72.23468375677119;3.151
2025-08-09 07:59:08;18.302815289539943;70.50431067368582;3.149
2025-08-09 08:09:09;18.513771267261767;69.42244602121004;3.149
2025-08-09 08:19:12;19.814221408407718;64.89509422446021;3.149
2025-08-09 08:29:09;20.337605859464404;62.4979018844892;3.149
2025-08-09 08:39:11;21.101319905394064;59.28892957961395;3.149
2025-08-09 08:49:10;21.584649423971925;57.46089875638972;3.149
2025-08-09 08:59:10;21.97985809109636;56.07385366598001;3.149
