station;heure;temperature;humidity
Haldimand;2025-06-10 10:00:00;24.27916666666667;48.74866666666667
Haldimand;2025-06-10 11:00:00;24.250833333333333;50.03133333333333
Haldimand;2025-06-10 12:00:00;23.93766666666667;50.72416666666667
Haldimand;2025-06-10 13:00:00;24.436166666666665;52.75683333333333
Haldimand;2025-06-10 14:00:00;26.11883333333333;50.94216666666667
Haldimand;2025-06-10 15:00:00;28.349833333333333;49.187666666666665
Haldimand;2025-06-10 16:00:00;28.49116666666667;44.4855
Haldimand;2025-06-10 17:00:00;27.501666666666665;42.94933333333333
Haldimand;2025-06-10 18:00:00;27.521666666666665;45.03116666666667
Haldimand;2025-06-10 19:00:00;26.851333333333333;33.882333333333335
Haldimand;2025-06-10 20:00:00;25.429166666666664;37.92683333333333
Haldimand;2025-06-10 21:00:00;22.900833333333335;45.72866666666667
Haldimand;2025-06-10 22:00:00;21.97083333333333;46.309333333333335
Haldimand;2025-06-10 23:00:00;19.349666666666668;55.759166666666665
Haldimand;2025-06-11 00:00:00;17.518333333333334;64.07966666666667
Haldimand;2025-06-11 01:00:00;16.939333333333334;65.29366666666667
Haldimand;2025-06-11 02:00:00;15.990333333333332;69.85233333333333
Haldimand;2025-06-11 03:00:00;14.88;73.38016666666667
Haldimand;2025-06-11 04:00:00;14.461166666666665;75.659
Haldimand;2025-06-11 05:00:00;13.521500000000001;78.63166666666666
Haldimand;2025-06-11 06:00:00;13.6015;79.64383333333333
Haldimand;2025-06-11 07:00:00;14.500833333333333;78.31116666666667
Haldimand;2025-06-11 08:00:00;16.355500000000003;76.1155
Haldimand;2025-06-11 09:00:00;18.378;73.06616666666666
Haldimand;2025-06-11 10:00:00;19.79733333333333;67.02033333333334
Haldimand;2025-06-11 11:00:00;21.254833333333334;61.074999999999996
Haldimand;2025-06-11 12:00:00;23.1805;52.68883333333333
Haldimand;2025-06-11 13:00:00;24.464333333333332;51.503166666666665
Haldimand;2025-06-11 14:00:00;25.045166666666663;52.017833333333336
Haldimand;2025-06-11 15:00:00;26.276833333333332;49.03733333333333
Haldimand;2025-06-11 16:00:00;26.871;47.15533333333334
Haldimand;2025-06-11 17:00:00;26.920333333333332;46.278
Haldimand;2025-06-11 18:00:00;27.383;44.71016666666667
Haldimand;2025-06-11 19:00:00;27.096166666666665;45.310333333333325
Haldimand;2025-06-11 20:00:00;24.59483333333333;51.984833333333334
Haldimand;2025-06-11 21:00:00;22.665166666666664;57.809666666666665
Haldimand;2025-06-11 22:00:00;21.5725;60.547
Haldimand;2025-06-11 23:00:00;20.094833333333334;67.527
Haldimand;2025-06-12 00:00:00;18.6675;72.06016666666666
Haldimand;2025-06-12 01:00:00;17.478666666666665;75.331
Haldimand;2025-06-12 02:00:00;17.042333333333335;76.57183333333334
Haldimand;2025-06-12 03:00:00;16.256666666666668;78.57433333333334
Haldimand;2025-06-12 04:00:00;15.389833333333334;80.97483333333334
Haldimand;2025-06-12 05:00:00;15.087000000000002;82.47916666666667
Haldimand;2025-06-12 06:00:00;14.776333333333334;83.39516666666667
Haldimand;2025-06-12 07:00:00;16.057833333333335;80.88
Haldimand;2025-06-12 08:00:00;18.532833333333333;73.9665
Haldimand;2025-06-12 09:00:00;20.3415;69.98766666666667
Haldimand;2025-06-12 10:00:00;21.875333333333334;62.13466666666667
Haldimand;2025-06-12 11:00:00;23.1965;57.937000000000005
Haldimand;2025-06-12 12:00:00;24.158833333333334;57.15383333333333
Haldimand;2025-06-12 13:00:00;25.13416666666667;55.0635
Haldimand;2025-06-12 14:00:00;26.72083333333333;51.05983333333333
Haldimand;2025-06-12 15:00:00;27.939333333333334;48.4135
Haldimand;2025-06-12 16:00:00;27.924333333333333;49.684666666666665
Haldimand;2025-06-12 17:00:00;27.891499999999997;51.65983333333333
Haldimand;2025-06-12 18:00:00;27.893833333333333;52.04
Haldimand;2025-06-12 19:00:00;26.831833333333332;53.57316666666667
Haldimand;2025-06-12 20:00:00;27.17216666666667;53.12583333333333
Haldimand;2025-06-12 21:00:00;25.623833333333334;57.98016666666667
Haldimand;2025-06-12 22:00:00;23.793666666666667;67.39833333333333
Haldimand;2025-06-12 23:00:00;22.572833333333335;71.645
Haldimand;2025-06-13 00:00:00;21.600666666666665;74.1665
Haldimand;2025-06-13 01:00:00;20.388666666666666;77.97500000000001
Haldimand;2025-06-13 02:00:00;19.9915;80.28383333333333
Haldimand;2025-06-13 03:00:00;19.634666666666664;79.80366666666667
Haldimand;2025-06-13 04:00:00;18.952833333333334;80.96516666666666
Haldimand;2025-06-13 05:00:00;18.576333333333334;82.35566666666666
Haldimand;2025-06-13 06:00:00;18.608;82.56633333333333
Haldimand;2025-06-13 07:00:00;19.611;80.873
Haldimand;2025-06-13 08:00:00;20.908666666666665;79.60933333333334
Haldimand;2025-06-13 09:00:00;22.718333333333334;75.774
Haldimand;2025-06-13 10:00:00;23.909833333333335;67.83116666666668
Haldimand;2025-06-13 11:00:00;25.529833333333332;61.513
Haldimand;2025-06-13 12:00:00;27.21966666666667;58.215
Haldimand;2025-06-13 13:00:00;28.499;57.56183333333333
Haldimand;2025-06-13 14:00:00;29.410833333333333;51.796166666666664
Haldimand;2025-06-13 15:00:00;30.70566666666667;46.41366666666667
Haldimand;2025-06-13 16:00:00;31.247666666666664;45.85433333333333
Haldimand;2025-06-13 17:00:00;31.614166666666666;48.50816666666666
Haldimand;2025-06-13 18:00:00;32.493500000000004;42.262499999999996
Haldimand;2025-06-13 19:00:00;31.648333333333337;45.764
Haldimand;2025-06-13 20:00:00;28.945333333333334;50.917
